symbol,n_cons,n_stand,series
ABB,6,24,stand
ABCAPITAL,24,24,cons
ADANIENSOL,24,25,stand
ADANIPORTS,25,25,cons
ADANIPOWER,25,25,cons
ALKEM,22,24,stand
AMBER,24,24,cons
AMBUJACEM,24,24,cons
ANGELONE,24,23,cons
APOLLOHOSP,24,23,cons
ASHOKLEY,23,23,cons
ASIANPAINT,25,24,cons
ASTRAL,24,24,cons
AUBANK,0,24,stand
AUROPHARMA,24,24,cons
AXISBANK,24,22,cons
BAJAJ-AUTO,24,24,cons
BAJAJFINSV,25,25,cons
BAJAJHLDNG,25,24,cons
BAJFINANCE,25,25,cons
BANDHANBNK,0,22,stand
BANKBARODA,24,24,cons
BANKINDIA,24,24,cons
BDL,0,24,stand
BEL,25,24,cons
BHARATFORG,24,24,cons
BHARTIARTL,24,24,cons
BHEL,24,25,stand
BIOCON,24,24,cons
BLUESTARCO,24,23,cons
BOSCHLTD,23,22,cons
BPCL,24,24,cons
BRITANNIA,22,24,stand
CAMS,20,19,cons
CANBK,24,24,cons
CDSL,23,24,stand
CHOLAFIN,25,25,cons
CIPLA,24,24,cons
COALINDIA,25,25,cons
COCHINSHIP,24,24,cons
COFORGE,24,24,cons
COLPAL,0,25,stand
CONCOR,25,25,cons
CROMPTON,24,23,cons
CUMMINSIND,24,24,cons
DABUR,25,25,cons
DALBHARAT,25,25,cons
DELHIVERY,17,17,cons
DIVISLAB,23,23,cons
DIXON,24,24,cons
DLF,24,24,cons
DMART,25,25,cons
DRREDDY,25,25,cons
EICHERMOT,25,25,cons
ETERNAL,21,21,cons
EXIDEIND,24,24,cons
FEDERALBNK,23,23,cons
FORTIS,24,24,cons
GLENMARK,25,24,cons
GMRAIRPORT,23,24,stand
GODFRYPHLP,25,24,cons
GODREJCP,23,24,stand
GODREJPROP,24,23,cons
GRASIM,24,24,cons
GVT&D,0,24,stand
HAL,24,24,cons
HAVELLS,24,24,cons
HCLTECH,25,25,cons
HDFCAMC,15,23,stand
HDFCBANK,25,25,cons
HDFCLIFE,6,6,cons
HEROMOTOCO,24,24,cons
HINDALCO,24,24,cons
HINDPETRO,25,25,cons
HINDUNILVR,25,25,cons
HINDZINC,19,25,stand
HYUNDAI,8,8,cons
ICICIBANK,24,24,cons
ICICIGI,0,6,stand
ICICIPRULI,5,6,stand
IDFCFIRSTB,23,24,stand
INDHOTEL,25,25,cons
INDIGO,25,24,cons
INDUSINDBK,24,24,cons
INDUSTOWER,25,24,cons
INFY,25,25,cons
INOXWIND,24,24,cons
IREDA,5,10,stand
IRFC,0,20,stand
ITC,25,24,cons
JINDALSTEL,24,24,cons
JIOFIN,12,12,cons
JSWENERGY,24,23,cons
JSWSTEEL,24,25,stand
JUBLFOOD,24,24,cons
KALYANKJIL,20,21,stand
KAYNES,14,14,cons
KEI,24,24,cons
KFINTECH,14,14,cons
KOTAKBANK,24,25,stand
KPITTECH,25,24,cons
LAURUSLABS,25,24,cons
LICHSGFIN,25,25,cons
LICI,5,5,cons
LODHA,21,22,stand
LT,25,25,cons
LTF,21,24,stand
LTM,25,25,cons
LUPIN,23,24,stand
M&M,24,23,cons
MANAPPURAM,24,24,cons
MANKIND,13,13,cons
MARICO,24,24,cons
MARUTI,25,25,cons
MAXHEALTH,23,23,cons
MAZDOCK,24,24,cons
MCX,0,0,cons
MFSL,22,22,cons
MOTILALOFS,25,24,cons
MPHASIS,24,25,stand
MUTHOOTFIN,24,23,cons
NAM-INDIA,23,23,cons
NATIONALUM,24,24,cons
NAUKRI,24,24,cons
NBCC,24,24,cons
NESTLEIND,8,12,stand
NHPC,24,24,cons
NTPC,25,25,cons
NUVAMA,12,12,cons
NYKAA,18,18,cons
OBEROIRLTY,23,24,stand
OIL,24,24,cons
ONGC,23,23,cons
PAGEIND,0,24,stand
PATANJALI,8,24,stand
PAYTM,19,20,stand
PERSISTENT,23,22,cons
PETRONET,24,24,cons
PFC,24,22,cons
PHOENIXLTD,25,25,cons
PIDILITIND,24,24,cons
PIIND,24,24,cons
PNB,23,24,stand
PNBHOUSING,23,23,cons
POLYCAB,25,24,cons
POWERGRID,24,24,cons
POWERINDIA,0,21,stand
PREMIERENE,7,7,cons
PRESTIGE,25,25,cons
RADICO,25,25,cons
RBLBANK,25,24,cons
RECLTD,25,24,cons
RELIANCE,24,25,stand
RVNL,24,24,cons
SAIL,24,24,cons
SBICARD,0,25,stand
SBILIFE,0,6,stand
SBIN,23,23,cons
SHREECEM,25,24,cons
SHRIRAMFIN,25,24,cons
SOLARINDS,23,23,cons
SONACOMS,21,21,cons
SUNPHARMA,25,24,cons
SUPREMEIND,24,24,cons
SUZLON,25,25,cons
SWIGGY,8,8,cons
TATACONSUM,25,25,cons
TATAELXSI,0,24,stand
TATAPOWER,24,24,cons
TATASTEEL,24,25,stand
TCS,25,25,cons
TECHM,24,24,cons
TIINDIA,24,23,cons
TITAN,24,24,cons
TORNTPHARM,24,25,stand
TRENT,24,24,cons
TVSMOTOR,25,25,cons
ULTRACEMCO,24,24,cons
UNIONBANK,25,24,cons
UNITDSPR,25,24,cons
UPL,24,21,cons
VBL,25,25,cons
VMM,7,7,cons
VOLTAS,24,24,cons
WAAREEENER,8,8,cons
WIPRO,24,24,cons
YESBANK,25,24,cons
ZYDUSLIFE,24,24,cons
